customerID,call_date,issue_type,resolution_time,resolved
9411-TPQQV,5/14/2022,Technical,7,Yes
6876-ADESB,12/28/2022,Other,18,No
6876-ADESB,1/16/2022,Contract,58,Yes
6496-JDSSB,3/16/2022,Billing,26,No
6496-JDSSB,11/20/2022,Technical,6,Yes
6496-JDSSB,2/23/2022,Technical,8,Yes
6496-JDSSB,8/26/2022,Technical,40,Yes
6496-JDSSB,9/25/2022,Technical,43,Yes
4210-QFJMF,9/29/2022,Billing,60,Yes
4210-QFJMF,2/11/2022,Other,51,Yes
2115-BFTIW,7/25/2022,Billing,46,No
2115-BFTIW,3/6/2022,Other,18,No
2115-BFTIW,7/2/2022,Other,15,Yes
2115-BFTIW,3/16/2022,Billing,5,No
3387-PLKUI,1/25/2022,Other,11,No
3387-PLKUI,5/22/2022,Technical,6,No
3387-PLKUI,2/4/2022,Technical,21,Yes
3387-PLKUI,5/19/2022,Contract,32,Yes
2682-KEVRP,12/24/2022,Other,6,No
4603-JANFB,7/8/2022,Billing,41,Yes
4603-JANFB,8/22/2022,Other,42,Yes
4603-JANFB,6/8/2022,Billing,33,Yes
4603-JANFB,1/18/2022,Billing,36,Yes
8564-LDKFL,2/16/2022,Contract,33,No
8404-GFGCZ,8/13/2022,Contract,36,Yes
8404-GFGCZ,7/2/2022,Billing,53,No
8404-GFGCZ,2/18/2022,Billing,45,Yes
8404-GFGCZ,10/9/2022,Other,8,Yes
8404-GFGCZ,5/30/2022,Other,22,Yes
1153-GNOLC,11/23/2022,Billing,19,Yes
1153-GNOLC,9/27/2022,Technical,45,Yes
1153-GNOLC,6/1/2022,Contract,29,No
1208-NBVFH,11/20/2022,Technical,8,No
2100-BDNSN,10/10/2022,Contract,31,No
2100-BDNSN,1/25/2022,Other,15,No
2100-BDNSN,7/26/2022,Billing,10,No
2100-BDNSN,7/31/2022,Technical,53,Yes
2100-BDNSN,3/27/2022,Other,19,Yes
9142-KZXOP,11/9/2022,Technical,49,Yes
0212-ISBBF,12/12/2022,Billing,21,No
2882-DDZPG,7/29/2022,Technical,37,No
2882-DDZPG,3/16/2022,Contract,10,Yes
2882-DDZPG,12/30/2022,Other,15,Yes
4826-DXMUP,5/22/2022,Other,20,No
4826-DXMUP,4/2/2022,Billing,44,No
4826-DXMUP,8/16/2022,Billing,48,No
0311-QYWSS,10/5/2022,Other,55,Yes
0311-QYWSS,3/24/2022,Technical,21,No
0311-QYWSS,7/27/2022,Other,45,No
0311-QYWSS,10/31/2022,Other,14,Yes
0311-QYWSS,7/31/2022,Billing,34,Yes
0928-XUTSN,9/9/2022,Other,13,No
0928-XUTSN,3/23/2022,Technical,53,No
0322-YINQP,3/21/2022,Technical,41,No
7089-IVVAZ,9/10/2022,Other,13,Yes
1848-LBZHY,7/30/2022,Other,21,No
1848-LBZHY,3/26/2022,Other,6,Yes
8513-OLYGY,7/8/2022,Contract,53,Yes
8513-OLYGY,12/2/2022,Contract,21,No
8513-OLYGY,1/11/2022,Contract,47,No
8513-OLYGY,1/16/2022,Contract,22,Yes
8513-OLYGY,5/19/2022,Technical,38,Yes
9921-EZKBY,2/15/2022,Billing,18,Yes
9921-EZKBY,4/11/2022,Technical,52,No
9921-EZKBY,9/16/2022,Technical,53,Yes
2387-KDZQY,11/10/2022,Other,25,No
2387-KDZQY,3/18/2022,Other,21,Yes
2387-KDZQY,3/26/2022,Billing,6,Yes
2387-KDZQY,6/20/2022,Other,45,No
3062-ICYZQ,12/17/2022,Other,19,Yes
3062-ICYZQ,10/31/2022,Other,29,No
3062-ICYZQ,10/23/2022,Billing,49,Yes
3062-ICYZQ,1/1/2022,Other,9,Yes
6862-CQUMB,7/30/2022,Billing,32,Yes
6862-CQUMB,2/10/2022,Technical,33,Yes
6862-CQUMB,7/21/2022,Contract,57,No
6862-CQUMB,4/6/2022,Billing,15,Yes
9210-IAHGH,5/6/2022,Other,40,Yes
9210-IAHGH,4/28/2022,Technical,58,No
9210-IAHGH,5/11/2022,Technical,55,No
9210-IAHGH,8/1/2022,Technical,13,Yes
9396-ZSFLL,8/19/2022,Technical,59,No
9396-ZSFLL,7/8/2022,Technical,40,No
9396-ZSFLL,11/26/2022,Contract,24,No
9396-ZSFLL,9/28/2022,Billing,36,Yes
4065-JJAVA,9/11/2022,Contract,18,Yes
4065-JJAVA,7/19/2022,Technical,36,Yes
4065-JJAVA,9/5/2022,Contract,48,Yes
4065-JJAVA,2/1/2022,Contract,20,No
2636-ALXXZ,10/22/2022,Other,27,No
2636-ALXXZ,7/3/2022,Other,40,No
2636-ALXXZ,1/15/2022,Other,38,Yes
2636-ALXXZ,1/27/2022,Billing,32,Yes
2637-FKFSY,12/14/2022,Contract,30,No
2637-FKFSY,8/26/2022,Other,11,Yes
2637-FKFSY,11/28/2022,Billing,37,Yes
2637-FKFSY,9/4/2022,Billing,42,No
1448-CYWKC,3/13/2022,Contract,38,Yes
1448-CYWKC,2/27/2022,Contract,7,Yes
1448-CYWKC,4/7/2022,Technical,22,No
4193-IBKSW,4/3/2022,Technical,38,No
4193-IBKSW,1/8/2022,Other,42,No
4257-GAESD,5/12/2022,Technical,57,No
5872-OEQNH,10/28/2022,Billing,22,No
5872-OEQNH,12/19/2022,Contract,33,Yes
5884-GCYMI,11/18/2022,Other,50,Yes
6352-GIGGQ,7/23/2022,Technical,25,No
6352-GIGGQ,8/24/2022,Other,54,Yes
6352-GIGGQ,10/18/2022,Technical,48,Yes
5087-SUURX,1/1/2022,Contract,43,Yes
5087-SUURX,4/29/2022,Technical,31,No
5087-SUURX,8/22/2022,Contract,10,No
9127-QRZMH,7/24/2022,Billing,42,No
9127-QRZMH,1/7/2022,Contract,9,Yes
9127-QRZMH,9/14/2022,Technical,10,No
9127-QRZMH,6/14/2022,Other,12,No
9127-QRZMH,3/19/2022,Other,22,Yes
2162-FRZAA,7/12/2022,Billing,51,Yes
2162-FRZAA,8/27/2022,Contract,39,No
2162-FRZAA,6/27/2022,Billing,5,No
3138-BKYAV,6/30/2022,Other,60,Yes
6371-NZYEG,3/26/2022,Billing,24,Yes
7925-PNRGI,6/27/2022,Other,47,Yes
7925-PNRGI,7/5/2022,Technical,14,Yes
7925-PNRGI,6/2/2022,Technical,56,Yes
7925-PNRGI,4/20/2022,Contract,57,Yes
1307-ATKGB,3/24/2022,Technical,30,No
1307-ATKGB,10/16/2022,Contract,48,Yes
4060-LDNLU,4/23/2022,Technical,18,No
4060-LDNLU,8/9/2022,Billing,35,Yes
4060-LDNLU,11/29/2022,Other,47,No
4060-LDNLU,1/1/2023,Billing,25,Yes
4060-LDNLU,1/29/2022,Billing,6,No
3927-NLNRY,2/14/2022,Contract,11,No
3927-NLNRY,6/3/2022,Technical,13,Yes
3927-NLNRY,12/19/2022,Other,14,No
3927-NLNRY,4/13/2022,Billing,38,Yes
3927-NLNRY,9/12/2022,Billing,16,Yes
3850-OKINF,12/15/2022,Billing,51,No
3850-OKINF,4/15/2022,Contract,58,Yes
3850-OKINF,9/25/2022,Technical,55,Yes
3850-OKINF,5/13/2022,Billing,21,No
3850-OKINF,9/22/2022,Contract,41,No
9102-OXKFY,9/21/2022,Contract,30,No
9102-OXKFY,9/1/2022,Billing,42,No
9102-OXKFY,11/11/2022,Contract,40,Yes
5018-LXQQG,8/27/2022,Other,54,No
5018-LXQQG,12/22/2022,Other,57,No
5018-LXQQG,10/9/2022,Contract,9,Yes
3884-HCSWG,8/17/2022,Technical,25,Yes
3884-HCSWG,6/9/2022,Contract,53,No
3884-HCSWG,3/4/2022,Technical,25,Yes
3884-HCSWG,9/23/2022,Other,50,No
9391-TTOYH,12/24/2022,Billing,57,No
9391-TTOYH,9/25/2022,Other,58,Yes
9391-TTOYH,6/2/2022,Technical,54,Yes
8823-RLPWL,11/25/2022,Billing,33,No
8823-RLPWL,10/19/2022,Billing,10,Yes
8823-RLPWL,4/16/2022,Contract,45,Yes
8823-RLPWL,12/29/2022,Other,7,Yes
8823-RLPWL,6/10/2022,Contract,56,No
8350-NYMVI,1/12/2022,Other,38,No
8350-NYMVI,1/21/2022,Contract,47,No
7852-LECYP,3/31/2022,Other,45,Yes
7852-LECYP,7/25/2022,Other,26,No
7852-LECYP,7/2/2022,Other,12,No
7852-LECYP,12/31/2022,Contract,16,No
7508-MYBOG,2/11/2022,Other,26,Yes
4860-IJUDE,2/23/2022,Technical,30,Yes
4860-IJUDE,10/24/2022,Contract,50,No
4860-IJUDE,5/23/2022,Billing,17,No
4860-IJUDE,12/7/2022,Other,19,Yes
0975-UYDTX,3/3/2022,Other,36,No
0975-UYDTX,3/28/2022,Technical,59,No
0975-UYDTX,2/6/2022,Technical,6,Yes
0975-UYDTX,6/16/2022,Contract,27,Yes
3096-WPXBT,7/23/2022,Other,40,No
3096-WPXBT,5/31/2022,Technical,34,No
3096-WPXBT,2/6/2022,Contract,28,Yes
2452-SNHFZ,7/14/2022,Other,31,Yes
2452-SNHFZ,12/31/2022,Technical,11,No
2452-SNHFZ,6/4/2022,Other,59,Yes
2452-SNHFZ,7/9/2022,Billing,25,Yes
6502-KUGLL,11/9/2022,Technical,37,No
6502-KUGLL,3/10/2022,Other,14,Yes
5504-WSIUR,8/14/2022,Other,46,No
5504-WSIUR,7/29/2022,Other,46,Yes
5504-WSIUR,9/16/2022,Technical,59,Yes
5504-WSIUR,10/25/2022,Technical,56,Yes
5504-WSIUR,6/25/2022,Billing,60,Yes
6994-KERXL,4/29/2022,Other,25,No
6994-KERXL,12/14/2022,Contract,33,Yes
6994-KERXL,11/19/2022,Other,28,No
6994-KERXL,12/11/2022,Billing,46,Yes
6994-KERXL,7/15/2022,Billing,49,Yes
1169-WCVAK,12/29/2022,Billing,21,No
1169-WCVAK,10/22/2022,Other,46,No
1169-WCVAK,6/21/2022,Technical,21,No
1169-WCVAK,6/23/2022,Billing,10,No
1169-WCVAK,6/9/2022,Billing,52,No
2898-LSJGD,8/4/2022,Contract,22,No
2898-LSJGD,11/9/2022,Technical,42,Yes
4361-BKAXE,5/20/2022,Contract,41,Yes
4361-BKAXE,1/31/2022,Other,44,Yes
8325-QRPZR,6/24/2022,Other,58,No
8325-QRPZR,1/2/2022,Contract,9,Yes
7207-RMRDB,5/16/2022,Contract,50,No
6614-VBEGU,4/24/2022,Billing,53,Yes
9025-AOMKI,1/29/2022,Other,54,Yes
9025-AOMKI,12/12/2022,Billing,20,Yes
9025-AOMKI,2/10/2022,Technical,53,No
8747-UDCOI,12/13/2022,Technical,52,No
5294-CDGWY,4/10/2022,Contract,55,No
4919-IKATY,4/30/2022,Contract,57,No
4919-IKATY,2/21/2022,Technical,24,No
4919-IKATY,1/31/2022,Contract,13,Yes
4919-IKATY,12/28/2022,Contract,16,Yes
2903-YYTBW,12/28/2022,Billing,8,Yes
2903-YYTBW,10/21/2022,Other,31,Yes
2903-YYTBW,12/29/2022,Technical,28,Yes
2476-YGEFM,9/24/2022,Contract,8,No
2476-YGEFM,6/14/2022,Other,58,No
2476-YGEFM,3/4/2022,Billing,50,Yes
2476-YGEFM,11/12/2022,Contract,12,Yes
7131-ZQZNK,5/30/2022,Other,51,No
7131-ZQZNK,2/1/2022,Contract,48,No
7131-ZQZNK,1/6/2022,Other,44,Yes
9058-HRZSV,9/15/2022,Billing,52,Yes
9058-HRZSV,8/27/2022,Technical,10,No
9058-HRZSV,12/15/2022,Other,55,Yes
9058-HRZSV,7/6/2022,Billing,19,No
9058-HRZSV,3/28/2022,Other,60,No
0093-XWZFY,2/12/2022,Billing,18,Yes
1298-PHBTI,2/27/2022,Contract,28,No
1298-PHBTI,9/28/2022,Other,48,No
1298-PHBTI,5/27/2022,Billing,6,No
1866-DIOQZ,6/17/2022,Other,24,No
2080-GKCWQ,8/16/2022,Other,9,No
2080-GKCWQ,5/27/2022,Contract,16,Yes
2080-GKCWQ,12/18/2022,Billing,25,Yes
5222-IMUKT,5/27/2022,Billing,28,Yes
1875-QIVME,10/12/2022,Technical,35,No
1875-QIVME,1/31/2022,Other,18,No
7853-WNZSY,11/20/2022,Technical,7,No
7853-WNZSY,4/3/2022,Billing,42,Yes
7853-WNZSY,6/18/2022,Other,16,Yes
6179-GJPSO,1/6/2022,Contract,38,No
8748-HFWBO,11/23/2022,Billing,16,No
8748-HFWBO,9/5/2022,Technical,38,No
9863-JZAIC,1/10/2022,Contract,60,No
9863-JZAIC,4/29/2022,Other,19,No
9863-JZAIC,9/15/2022,Contract,13,Yes
5433-KYGHE,11/23/2022,Other,50,No
5433-KYGHE,1/15/2022,Technical,32,No
5433-KYGHE,6/7/2022,Other,29,No
2867-UIMSS,11/21/2022,Billing,30,Yes
3223-WZWJM,10/18/2022,Billing,34,No
6217-TOWGS,2/21/2022,Contract,22,Yes
5027-QPKTE,2/12/2022,Technical,55,No
5027-QPKTE,4/29/2022,Technical,52,Yes
5027-QPKTE,4/16/2022,Other,18,No
5027-QPKTE,7/25/2022,Other,24,Yes
5027-QPKTE,10/2/2022,Billing,51,Yes
7142-HVGBG,4/6/2022,Billing,28,Yes
3049-SOLAY,12/12/2022,Billing,59,Yes
3049-SOLAY,1/18/2022,Contract,54,Yes
3049-SOLAY,11/27/2022,Contract,53,Yes
3049-SOLAY,4/7/2022,Technical,40,No
2812-REYAT,4/23/2022,Billing,9,Yes
2812-REYAT,7/17/2022,Technical,55,No
2812-REYAT,9/23/2022,Contract,14,No
5338-YHWYT,12/27/2022,Billing,21,Yes
5338-YHWYT,5/19/2022,Other,6,Yes
5338-YHWYT,3/8/2022,Contract,16,No
5338-YHWYT,5/22/2022,Billing,53,Yes
5338-YHWYT,7/6/2022,Billing,19,No
6131-IUNXN,10/6/2022,Other,14,Yes
6131-IUNXN,11/30/2022,Billing,47,Yes
6131-IUNXN,5/24/2022,Contract,53,No
6131-IUNXN,3/27/2022,Contract,11,Yes
5236-XMZJY,4/23/2022,Contract,51,No
5236-XMZJY,5/15/2022,Other,12,Yes
4786-UKSNZ,2/24/2022,Other,42,Yes
4786-UKSNZ,8/28/2022,Billing,18,Yes
4786-UKSNZ,5/7/2022,Technical,17,Yes
4786-UKSNZ,9/7/2022,Other,16,Yes
4786-UKSNZ,2/15/2022,Other,50,No
1472-TNCWL,4/30/2022,Billing,14,Yes
1472-TNCWL,12/9/2022,Technical,37,Yes
1472-TNCWL,2/18/2022,Billing,47,No
1472-TNCWL,10/3/2022,Other,32,Yes
1472-TNCWL,12/11/2022,Technical,49,No
1135-HIORI,10/20/2022,Other,32,Yes
1135-HIORI,5/25/2022,Other,26,Yes
1135-HIORI,10/25/2022,Other,15,Yes
1135-HIORI,2/26/2022,Contract,6,Yes
1135-HIORI,10/14/2022,Other,59,Yes
7074-IEVOJ,4/4/2022,Billing,53,Yes
7074-IEVOJ,4/5/2022,Other,17,Yes
5175-AOBHI,3/4/2022,Billing,43,Yes
8722-PRFDV,2/10/2022,Other,30,No
8722-PRFDV,7/8/2022,Other,42,No
8722-PRFDV,4/17/2022,Technical,12,Yes
6377-WHAOX,5/24/2022,Other,29,Yes
6377-WHAOX,7/3/2022,Contract,38,Yes
6377-WHAOX,8/5/2022,Other,37,No
8681-ICONS,4/11/2022,Technical,35,No
8681-ICONS,4/4/2022,Other,24,No
8681-ICONS,9/1/2022,Billing,47,Yes
8681-ICONS,1/18/2022,Technical,46,No
6705-LXORM,7/11/2022,Technical,23,Yes
6705-LXORM,11/27/2022,Contract,55,Yes
6705-LXORM,6/30/2022,Billing,58,No
6705-LXORM,1/2/2022,Contract,44,Yes
1680-VDCWW,9/9/2022,Billing,8,Yes
0420-HLGXF,10/17/2022,Contract,32,No
0420-HLGXF,7/4/2022,Technical,47,Yes
0420-HLGXF,5/7/2022,Other,28,Yes
0420-HLGXF,6/25/2022,Billing,45,Yes
0420-HLGXF,2/7/2022,Other,7,No
6243-OZGFH,8/28/2022,Other,44,Yes
6243-OZGFH,2/4/2022,Contract,18,No
6243-OZGFH,4/20/2022,Technical,26,No
2876-GZYZC,8/9/2022,Other,38,Yes
2876-GZYZC,7/7/2022,Technical,38,Yes
9795-SHUHB,1/8/2022,Technical,39,No
8731-WBBMB,8/30/2022,Billing,42,Yes
8731-WBBMB,1/30/2022,Contract,59,No
8731-WBBMB,2/27/2022,Other,55,No
0868-VJRDR,3/20/2022,Technical,40,No
0013-EXCHZ,12/14/2022,Billing,5,Yes
0013-EXCHZ,12/29/2022,Contract,29,Yes
0013-EXCHZ,12/7/2022,Contract,53,Yes
5934-RMPOV,7/9/2022,Billing,58,No
5934-RMPOV,12/26/2022,Contract,46,Yes
5934-RMPOV,6/14/2022,Technical,24,Yes
8634-CILSZ,7/5/2022,Technical,60,No
1465-WCZVT,1/14/2022,Other,15,No
1465-WCZVT,12/21/2022,Billing,60,Yes
1465-WCZVT,4/7/2022,Technical,16,Yes
1465-WCZVT,12/25/2022,Contract,29,Yes
1465-WCZVT,7/10/2022,Other,57,Yes
5028-GZLDO,1/26/2022,Other,30,Yes
5028-GZLDO,4/29/2022,Other,46,No
5028-GZLDO,10/30/2022,Contract,13,Yes
5028-GZLDO,8/1/2022,Other,59,No
0895-UADGO,11/7/2022,Other,40,No
0895-UADGO,7/20/2022,Contract,31,No
4829-ZLJTK,4/12/2022,Other,16,Yes
9742-XOKTS,9/9/2022,Technical,19,Yes
9742-XOKTS,5/13/2022,Billing,41,No
9742-XOKTS,6/13/2022,Technical,32,No
9742-XOKTS,5/1/2022,Contract,55,No
9742-XOKTS,9/11/2022,Billing,49,Yes
6603-QWSPR,9/26/2022,Other,24,No
6603-QWSPR,3/23/2022,Other,16,No
6603-QWSPR,7/27/2022,Other,18,No
6603-QWSPR,7/26/2022,Contract,60,Yes
6603-QWSPR,8/29/2022,Other,40,No
5928-QLDHB,11/8/2022,Technical,33,No
5928-QLDHB,10/11/2022,Contract,9,Yes
5928-QLDHB,7/24/2022,Contract,33,No
5928-QLDHB,10/27/2022,Technical,49,No
5928-QLDHB,3/27/2022,Contract,26,Yes
5310-NOOVA,11/21/2022,Other,18,No
5310-NOOVA,11/20/2022,Contract,46,Yes
5310-NOOVA,6/27/2022,Other,41,Yes
5310-NOOVA,7/14/2022,Contract,18,No
5310-NOOVA,6/22/2022,Technical,11,Yes
7670-ZBPOQ,12/9/2022,Other,6,No
0203-HHYIJ,7/1/2022,Contract,8,No
0203-HHYIJ,12/31/2022,Contract,9,Yes
0203-HHYIJ,11/30/2022,Billing,58,No
0203-HHYIJ,5/30/2022,Billing,36,No
9871-ELEYA,1/31/2022,Contract,18,Yes
9871-ELEYA,2/7/2022,Other,18,No
9871-ELEYA,3/29/2022,Billing,27,No
1624-NALOJ,4/2/2022,Billing,33,No
1624-NALOJ,1/14/2022,Contract,33,Yes
1624-NALOJ,2/3/2022,Contract,23,No
5951-AOFIH,4/13/2022,Technical,47,Yes
9432-RUVSL,9/26/2022,Other,28,Yes
9432-RUVSL,10/5/2022,Other,21,Yes
9432-RUVSL,3/25/2022,Contract,53,Yes
9432-RUVSL,8/5/2022,Technical,57,No
9432-RUVSL,10/15/2022,Other,34,Yes
3588-WSTTJ,2/22/2022,Contract,45,Yes
3588-WSTTJ,10/1/2022,Technical,52,Yes
3588-WSTTJ,4/25/2022,Technical,50,Yes
3588-WSTTJ,10/30/2022,Other,59,No
3588-WSTTJ,7/16/2022,Other,37,No
9948-YPTDG,5/14/2022,Billing,52,No
9948-YPTDG,7/19/2022,Contract,19,No
6260-XLACS,9/20/2022,Other,41,No
6260-XLACS,11/21/2022,Contract,31,Yes
5012-YSPJJ,6/21/2022,Contract,26,No
5012-YSPJJ,5/3/2022,Other,25,Yes
5012-YSPJJ,9/4/2022,Contract,56,No
5012-YSPJJ,7/3/2022,Contract,22,No
7114-AEOZE,8/18/2022,Billing,12,Yes
7114-AEOZE,3/22/2022,Contract,13,No
7114-AEOZE,2/1/2022,Other,27,Yes
7114-AEOZE,8/29/2022,Other,52,No
7114-AEOZE,6/16/2022,Technical,39,Yes
6704-UTUKK,2/10/2022,Other,39,Yes
6704-UTUKK,9/10/2022,Other,33,Yes
6704-UTUKK,9/28/2022,Technical,34,No
3658-KIBGF,2/13/2022,Contract,14,No
3658-KIBGF,10/8/2022,Billing,9,No
3658-KIBGF,8/29/2022,Technical,31,Yes
0134-XWXCE,11/28/2022,Technical,47,No
9738-QLWTP,2/12/2022,Contract,46,No
9738-QLWTP,4/2/2022,Billing,44,Yes
9738-QLWTP,12/21/2022,Other,41,Yes
5871-DGTXZ,5/9/2022,Contract,52,No
5871-DGTXZ,7/8/2022,Billing,56,No
5871-DGTXZ,10/2/2022,Technical,38,No
5871-DGTXZ,2/12/2022,Technical,60,Yes
2458-EOMRE,3/16/2022,Contract,59,Yes
2458-EOMRE,7/2/2022,Contract,54,Yes
2458-EOMRE,12/17/2022,Technical,32,No
2458-EOMRE,4/2/2022,Technical,51,Yes
8647-SDTWQ,8/17/2022,Contract,16,No
8647-SDTWQ,4/11/2022,Contract,55,No
8647-SDTWQ,7/16/2022,Billing,48,Yes
8647-SDTWQ,3/2/2022,Technical,8,Yes
6946-LMSQS,8/8/2022,Technical,19,Yes
6946-LMSQS,9/17/2022,Billing,11,Yes
6946-LMSQS,11/3/2022,Billing,48,No
6946-LMSQS,8/19/2022,Technical,40,No
6946-LMSQS,2/3/2022,Billing,29,No
4513-CXYIX,3/12/2022,Contract,36,No
4513-CXYIX,11/8/2022,Billing,57,Yes
4513-CXYIX,1/19/2022,Other,42,Yes
4513-CXYIX,3/5/2022,Technical,10,Yes
8258-GSTJK,8/19/2022,Contract,51,No
3898-GUYTS,2/13/2022,Technical,18,Yes
3898-GUYTS,2/23/2022,Billing,17,No
3898-GUYTS,1/27/2022,Billing,41,No
3898-GUYTS,2/6/2022,Contract,9,Yes
3898-GUYTS,4/12/2022,Billing,43,Yes
8100-PNJMH,10/5/2022,Technical,21,No
5708-EVONK,7/28/2022,Billing,8,Yes
5708-EVONK,5/6/2022,Other,18,Yes
5708-EVONK,9/22/2022,Other,34,No
5708-EVONK,3/4/2022,Technical,32,Yes
9053-EJUNL,5/11/2022,Technical,21,Yes
