customerID,payment_date,amount,method
9959-WOFKT,2022-12-04,106.7, Bank Transfer
4190-MFLUW,2022-01-01,55.2,Direct Debit
4190-MFLUW,2022-02-19,55.2,Direct Debit
4190-MFLUW,2022-03-09,55.2,Credit Card
4190-MFLUW,2022-04-18,55.2, Bank Transfer
4190-MFLUW,2022-05-04,55.2,Direct Debit
4190-MFLUW,2022-06-02,55.2, Bank Transfer
4190-MFLUW,2022-07-19,55.2,Credit Card
4190-MFLUW,2022-08-02,55.2,Credit Card
4190-MFLUW,2022-09-25,55.2, Bank Transfer
4190-MFLUW,2022-10-07,55.2,Direct Debit
4190-MFLUW,2022-11-25,55.2,Cash
4190-MFLUW,2022-12-18,55.2,Direct Debit
4183-MYFRB,2022-01-26,90.05,Cash
4183-MYFRB,2022-02-12,90.05, Bank Transfer
4183-MYFRB,2022-03-14,90.05,Direct Debit
4183-MYFRB,2022-04-18,90.05,Direct Debit
4183-MYFRB,2022-05-27,90.05,Credit Card
4183-MYFRB,2022-06-20,90.05, Bank Transfer
4183-MYFRB,2022-07-17,90.05, Bank Transfer
4183-MYFRB,2022-08-19,90.05,Direct Debit
4183-MYFRB,2022-09-02,90.05,Credit Card
4183-MYFRB,2022-10-18,90.05,Direct Debit
4183-MYFRB,2022-11-16,90.05,Cash
4183-MYFRB,2022-12-19,90.05,Cash
8779-QRDMV,2022-01-23,39.65, Bank Transfer
8779-QRDMV,2022-02-10,39.65,Cash
8779-QRDMV,2022-03-04,39.65,Credit Card
8779-QRDMV,2022-04-17,39.65,Cash
8779-QRDMV,2022-05-21,39.65,Credit Card
8779-QRDMV,2022-06-14,39.65, Bank Transfer
8779-QRDMV,2022-07-12,39.65,Cash
8779-QRDMV,2022-08-09,39.65,Cash
8779-QRDMV,2022-09-19,39.65,Cash
8779-QRDMV,2022-10-20,39.65,Credit Card
8779-QRDMV,2022-11-23,39.65, Bank Transfer
8779-QRDMV,2022-12-23,39.65,Direct Debit
1680-VDCWW,2022-01-20,19.8,Direct Debit
1680-VDCWW,2022-02-20,19.8,Cash
1680-VDCWW,2022-03-17,19.8,Credit Card
1680-VDCWW,2022-04-14,19.8,Credit Card
1680-VDCWW,2022-05-09,19.8,Direct Debit
1680-VDCWW,2022-06-13,19.8,Credit Card
1680-VDCWW,2022-07-27,19.8, Bank Transfer
1680-VDCWW,2022-08-27,19.8,Cash
1680-VDCWW,2022-09-08,19.8,Cash
1680-VDCWW,2022-10-02,19.8,Cash
1680-VDCWW,2022-11-15,19.8,Cash
1680-VDCWW,2022-12-12,19.8, Bank Transfer
1066-JKSGK,2022-01-04,20.15, Bank Transfer
1066-JKSGK,2022-02-28,20.15,Credit Card
1066-JKSGK,2022-03-07,20.15, Bank Transfer
1066-JKSGK,2022-04-06,20.15, Bank Transfer
1066-JKSGK,2022-05-15,20.15,Credit Card
1066-JKSGK,2022-06-05,20.15,Cash
1066-JKSGK,2022-07-01,20.15,Credit Card
1066-JKSGK,2022-08-20,20.15,Direct Debit
1066-JKSGK,2022-09-17,20.15,Direct Debit
1066-JKSGK,2022-10-14,20.15,Direct Debit
1066-JKSGK,2022-11-01,20.15,Credit Card
1066-JKSGK,2022-12-19,20.15,Credit Card
3638-WEABW,2022-01-05,59.9, Bank Transfer
3638-WEABW,2022-02-08,59.9,Credit Card
3638-WEABW,2022-03-20,59.9,Cash
3638-WEABW,2022-04-07,59.9, Bank Transfer
3638-WEABW,2022-05-01,59.9, Bank Transfer
3638-WEABW,2022-06-16,59.9,Cash
3638-WEABW,2022-07-11,59.9,Cash
3638-WEABW,2022-08-13,59.9,Direct Debit
3638-WEABW,2022-09-26,59.9,Credit Card
3638-WEABW,2022-10-28,59.9,Direct Debit
3638-WEABW,2022-11-08,59.9, Bank Transfer
3638-WEABW,2022-12-18,59.9, Bank Transfer
6322-HRPFA,2022-01-26,59.6,Cash
6322-HRPFA,2022-02-02,59.6,Direct Debit
6322-HRPFA,2022-03-18,59.6,Direct Debit
6322-HRPFA,2022-04-19,59.6,Credit Card
6322-HRPFA,2022-05-14,59.6,Credit Card
6322-HRPFA,2022-06-19,59.6,Credit Card
6322-HRPFA,2022-07-22,59.6,Credit Card
6322-HRPFA,2022-08-09,59.6, Bank Transfer
6322-HRPFA,2022-09-20,59.6,Direct Debit
6322-HRPFA,2022-10-18,59.6,Credit Card
6322-HRPFA,2022-11-26,59.6, Bank Transfer
6322-HRPFA,2022-12-24,59.6, Bank Transfer
6865-JZNKO,2022-01-12,55.3,Cash
6865-JZNKO,2022-02-06,55.3,Credit Card
6865-JZNKO,2022-03-04,55.3, Bank Transfer
6865-JZNKO,2022-04-26,55.3, Bank Transfer
6865-JZNKO,2022-05-05,55.3,Direct Debit
6865-JZNKO,2022-06-02,55.3, Bank Transfer
6865-JZNKO,2022-07-02,55.3,Direct Debit
6865-JZNKO,2022-08-19,55.3, Bank Transfer
6865-JZNKO,2022-09-13,55.3,Cash
6865-JZNKO,2022-10-25,55.3,Direct Debit
6865-JZNKO,2022-11-02,55.3,Direct Debit
6865-JZNKO,2022-12-04,55.3, Bank Transfer
6467-CHFZW,2022-01-20,99.35,Credit Card
6467-CHFZW,2022-02-05,99.35, Bank Transfer
6467-CHFZW,2022-03-02,99.35, Bank Transfer
6467-CHFZW,2022-04-18,99.35,Direct Debit
6467-CHFZW,2022-05-14,99.35, Bank Transfer
6467-CHFZW,2022-06-20,99.35,Credit Card
6467-CHFZW,2022-07-14,99.35, Bank Transfer
6467-CHFZW,2022-08-02,99.35,Credit Card
6467-CHFZW,2022-09-06,99.35,Cash
6467-CHFZW,2022-10-03,99.35, Bank Transfer
6467-CHFZW,2022-11-06,99.35,Credit Card
6467-CHFZW,2022-12-06,99.35,Direct Debit
8665-UTDHZ,2022-01-22,30.2,Direct Debit
8665-UTDHZ,2022-02-18,30.2,Direct Debit
8665-UTDHZ,2022-03-25,30.2, Bank Transfer
8665-UTDHZ,2022-04-02,30.2,Direct Debit
8665-UTDHZ,2022-05-15,30.2,Credit Card
8665-UTDHZ,2022-06-11,30.2,Credit Card
8665-UTDHZ,2022-07-14,30.2,Direct Debit
8665-UTDHZ,2022-08-17,30.2,Credit Card
8665-UTDHZ,2022-09-19,30.2,Cash
8665-UTDHZ,2022-10-28,30.2,Cash
8665-UTDHZ,2022-11-20,30.2,Credit Card
8665-UTDHZ,2022-12-13,30.2,Direct Debit
5248-YGIJN,2022-01-06,90.25,Direct Debit
5248-YGIJN,2022-02-18,90.25, Bank Transfer
5248-YGIJN,2022-03-05,90.25,Cash
5248-YGIJN,2022-04-03,90.25,Credit Card
5248-YGIJN,2022-05-03,90.25,Cash
5248-YGIJN,2022-06-11,90.25,Credit Card
5248-YGIJN,2022-07-17,90.25,Cash
5248-YGIJN,2022-08-06,90.25,Credit Card
5248-YGIJN,2022-09-23,90.25,Direct Debit
5248-YGIJN,2022-10-20,90.25, Bank Transfer
5248-YGIJN,2022-11-13,90.25,Credit Card
5248-YGIJN,2022-12-11,90.25, Bank Transfer
8773-HHUOZ,2022-01-28,64.7,Direct Debit
8773-HHUOZ,2022-02-08,64.7, Bank Transfer
8773-HHUOZ,2022-03-08,64.7,Direct Debit
8773-HHUOZ,2022-04-23,64.7,Credit Card
8773-HHUOZ,2022-05-13,64.7,Direct Debit
8773-HHUOZ,2022-06-04,64.7, Bank Transfer
8773-HHUOZ,2022-07-27,64.7, Bank Transfer
8773-HHUOZ,2022-08-28,64.7,Cash
8773-HHUOZ,2022-09-15,64.7, Bank Transfer
8773-HHUOZ,2022-10-11,64.7,Direct Debit
8773-HHUOZ,2022-11-12,64.7,Cash
8773-HHUOZ,2022-12-18,64.7,Cash
3841-NFECX,2022-01-26,96.35,Credit Card
3841-NFECX,2022-02-21,96.35,Cash
3841-NFECX,2022-03-05,96.35, Bank Transfer
3841-NFECX,2022-04-13,96.35, Bank Transfer
3841-NFECX,2022-05-06,96.35,Credit Card
3841-NFECX,2022-06-03,96.35,Direct Debit
3841-NFECX,2022-07-15,96.35,Cash
3841-NFECX,2022-08-09,96.35,Direct Debit
3841-NFECX,2022-09-17,96.35,Direct Debit
3841-NFECX,2022-10-20,96.35,Direct Debit
3841-NFECX,2022-11-18,96.35, Bank Transfer
3841-NFECX,2022-12-03,96.35, Bank Transfer
4929-XIHVW,2022-01-20,95.5,Cash
4929-XIHVW,2022-02-17,95.5, Bank Transfer
4929-XIHVW,2022-03-06,95.5, Bank Transfer
4929-XIHVW,2022-04-21,95.5,Direct Debit
4929-XIHVW,2022-05-25,95.5, Bank Transfer
4929-XIHVW,2022-06-15,95.5,Cash
4929-XIHVW,2022-07-14,95.5,Credit Card
4929-XIHVW,2022-08-22,95.5,Credit Card
4929-XIHVW,2022-09-12,95.5, Bank Transfer
4929-XIHVW,2022-10-16,95.5,Direct Debit
4929-XIHVW,2022-11-18,95.5,Direct Debit
4929-XIHVW,2022-12-09,95.5, Bank Transfer
6827-IEAUQ,2022-01-28,66.15, Bank Transfer
6827-IEAUQ,2022-02-15,66.15,Cash
6827-IEAUQ,2022-03-11,66.15, Bank Transfer
6827-IEAUQ,2022-04-26,66.15,Cash
6827-IEAUQ,2022-05-04,66.15, Bank Transfer
6827-IEAUQ,2022-06-25,66.15,Cash
6827-IEAUQ,2022-07-28,66.15,Cash
6827-IEAUQ,2022-08-01,66.15,Direct Debit
6827-IEAUQ,2022-09-13,66.15,Credit Card
6827-IEAUQ,2022-10-14,66.15,Credit Card
6827-IEAUQ,2022-11-10,66.15, Bank Transfer
6827-IEAUQ,2022-12-20,66.15,Direct Debit
7310-EGVHZ,2022-01-17,20.2,Credit Card
7310-EGVHZ,2022-02-10,20.2,Direct Debit
7310-EGVHZ,2022-03-02,20.2, Bank Transfer
7310-EGVHZ,2022-04-28,20.2, Bank Transfer
7310-EGVHZ,2022-05-11,20.2,Direct Debit
7310-EGVHZ,2022-06-20,20.2,Credit Card
7310-EGVHZ,2022-07-03,20.2,Credit Card
7310-EGVHZ,2022-08-01,20.2,Cash
7310-EGVHZ,2022-09-12,20.2,Credit Card
7310-EGVHZ,2022-10-01,20.2,Cash
7310-EGVHZ,2022-11-19,20.2, Bank Transfer
7310-EGVHZ,2022-12-26,20.2, Bank Transfer
3413-BMNZE,2022-01-10,45.25,Credit Card
3413-BMNZE,2022-02-25,45.25,Credit Card
3413-BMNZE,2022-03-17,45.25, Bank Transfer
3413-BMNZE,2022-04-22,45.25,Credit Card
3413-BMNZE,2022-05-13,45.25, Bank Transfer
3413-BMNZE,2022-06-05,45.25,Direct Debit
3413-BMNZE,2022-07-21,45.25,Credit Card
3413-BMNZE,2022-08-27,45.25,Credit Card
3413-BMNZE,2022-09-01,45.25,Cash
3413-BMNZE,2022-10-19,45.25,Credit Card
3413-BMNZE,2022-11-27,45.25,Credit Card
3413-BMNZE,2022-12-15,45.25,Credit Card
6234-RAAPL,2022-01-24,99.9,Direct Debit
6234-RAAPL,2022-02-25,99.9,Direct Debit
6234-RAAPL,2022-03-06,99.9,Cash
6234-RAAPL,2022-04-02,99.9,Direct Debit
6234-RAAPL,2022-05-28,99.9, Bank Transfer
6234-RAAPL,2022-06-06,99.9,Direct Debit
6234-RAAPL,2022-07-14,99.9,Direct Debit
6234-RAAPL,2022-08-14,99.9,Cash
6234-RAAPL,2022-09-25,99.9, Bank Transfer
6234-RAAPL,2022-10-05,99.9,Cash
6234-RAAPL,2022-11-26,99.9,Cash
6234-RAAPL,2022-12-28,99.9,Direct Debit
6047-YHPVI,2022-01-15,69.7,Credit Card
6047-YHPVI,2022-02-07,69.7,Direct Debit
6047-YHPVI,2022-03-10,69.7,Credit Card
6047-YHPVI,2022-04-03,69.7,Credit Card
6047-YHPVI,2022-05-20,69.7, Bank Transfer
6047-YHPVI,2022-06-01,69.7, Bank Transfer
6047-YHPVI,2022-07-20,69.7,Direct Debit
6047-YHPVI,2022-08-12,69.7,Direct Debit
6047-YHPVI,2022-09-21,69.7, Bank Transfer
6047-YHPVI,2022-10-02,69.7, Bank Transfer
6047-YHPVI,2022-11-13,69.7,Credit Card
6047-YHPVI,2022-12-26,69.7,Cash
6572-ADKRS,2022-01-15,74.8, Bank Transfer
6572-ADKRS,2022-02-24,74.8,Direct Debit
6572-ADKRS,2022-03-07,74.8, Bank Transfer
6572-ADKRS,2022-04-09,74.8,Credit Card
6572-ADKRS,2022-05-09,74.8,Cash
6572-ADKRS,2022-06-23,74.8,Direct Debit
6572-ADKRS,2022-07-05,74.8, Bank Transfer
6572-ADKRS,2022-08-28,74.8,Credit Card
6572-ADKRS,2022-09-20,74.8, Bank Transfer
6572-ADKRS,2022-10-15,74.8,Credit Card
6572-ADKRS,2022-11-13,74.8,Credit Card
6572-ADKRS,2022-12-06,74.8, Bank Transfer
5380-WJKOV,2022-01-16,106.35, Bank Transfer
5380-WJKOV,2022-02-23,106.35,Direct Debit
5380-WJKOV,2022-03-02,106.35,Credit Card
5380-WJKOV,2022-04-28,106.35,Credit Card
5380-WJKOV,2022-05-04,106.35,Cash
5380-WJKOV,2022-06-14,106.35,Cash
5380-WJKOV,2022-07-04,106.35,Direct Debit
5380-WJKOV,2022-08-02,106.35,Direct Debit
5380-WJKOV,2022-09-09,106.35, Bank Transfer
5380-WJKOV,2022-10-08,106.35, Bank Transfer
5380-WJKOV,2022-11-07,106.35,Cash
5380-WJKOV,2022-12-21,106.35,Cash
8168-UQWWF,2022-01-14,97.85,Cash
8168-UQWWF,2022-02-24,97.85,Cash
8168-UQWWF,2022-03-08,97.85, Bank Transfer
8168-UQWWF,2022-04-08,97.85,Cash
8168-UQWWF,2022-05-20,97.85,Direct Debit
8168-UQWWF,2022-06-27,97.85,Direct Debit
8168-UQWWF,2022-07-06,97.85,Credit Card
8168-UQWWF,2022-08-21,97.85, Bank Transfer
8168-UQWWF,2022-09-22,97.85,Credit Card
8168-UQWWF,2022-10-11,97.85,Direct Debit
8168-UQWWF,2022-11-21,97.85, Bank Transfer
8168-UQWWF,2022-12-20,97.85,Credit Card
8865-TNMNX,2022-01-01,49.55, Bank Transfer
8865-TNMNX,2022-02-11,49.55,Cash
8865-TNMNX,2022-03-12,49.55,Direct Debit
8865-TNMNX,2022-04-08,49.55,Direct Debit
8865-TNMNX,2022-05-21,49.55,Credit Card
8865-TNMNX,2022-06-08,49.55, Bank Transfer
8865-TNMNX,2022-07-13,49.55, Bank Transfer
8865-TNMNX,2022-08-14,49.55,Cash
8865-TNMNX,2022-09-17,49.55, Bank Transfer
8865-TNMNX,2022-10-02,49.55,Cash
8865-TNMNX,2022-11-23,49.55,Cash
8865-TNMNX,2022-12-25,49.55,Cash
9489-DEDVP,2022-01-05,69.2,Cash
9489-DEDVP,2022-02-01,69.2,Credit Card
9489-DEDVP,2022-03-20,69.2, Bank Transfer
9489-DEDVP,2022-04-09,69.2,Direct Debit
9489-DEDVP,2022-05-04,69.2,Credit Card
9489-DEDVP,2022-06-28,69.2,Credit Card
9489-DEDVP,2022-07-12,69.2,Direct Debit
9489-DEDVP,2022-08-06,69.2,Direct Debit
9489-DEDVP,2022-09-24,69.2,Credit Card
9489-DEDVP,2022-10-09,69.2, Bank Transfer
9489-DEDVP,2022-11-27,69.2,Cash
9489-DEDVP,2022-12-27,69.2,Credit Card
9867-JCZSP,2022-01-27,20.75,Cash
9867-JCZSP,2022-02-07,20.75,Credit Card
9867-JCZSP,2022-03-20,20.75,Cash
9867-JCZSP,2022-04-18,20.75,Direct Debit
9867-JCZSP,2022-05-01,20.75,Direct Debit
9867-JCZSP,2022-06-09,20.75, Bank Transfer
9867-JCZSP,2022-07-03,20.75, Bank Transfer
9867-JCZSP,2022-08-01,20.75,Cash
9867-JCZSP,2022-09-03,20.75,Cash
9867-JCZSP,2022-10-06,20.75,Credit Card
9867-JCZSP,2022-11-12,20.75,Credit Card
9867-JCZSP,2022-12-20,20.75, Bank Transfer
4671-VJLCL,2022-01-06,79.85,Credit Card
4671-VJLCL,2022-02-24,79.85,Credit Card
4671-VJLCL,2022-03-22,79.85,Direct Debit
4671-VJLCL,2022-04-11,79.85,Credit Card
4671-VJLCL,2022-05-09,79.85,Direct Debit
4671-VJLCL,2022-06-18,79.85,Direct Debit
4671-VJLCL,2022-07-19,79.85, Bank Transfer
4671-VJLCL,2022-08-09,79.85, Bank Transfer
4671-VJLCL,2022-09-14,79.85,Credit Card
4671-VJLCL,2022-10-22,79.85, Bank Transfer
4671-VJLCL,2022-11-11,79.85,Credit Card
4671-VJLCL,2022-12-06,79.85,Direct Debit
4080-IIARD,2022-01-21,76.2,Cash
4080-IIARD,2022-02-23,76.2,Cash
