customerid,contract,total_charges,monthly_charges,tenure,tenure_bucket,churn_flag,payment_method,calls_last_90d,unresolved_calls_90d,avg_resolution_time,avg_payment,missing_method_count,last_payment_date
3638-WEABW,two year,3505.1,59.9,58,48+,False,Credit card (automatic),,,,59.9,0,2022-12-18
6322-HRPFA,month-to-month,2970.3,59.6,49,48+,False,Credit card (automatic),,,,59.6,0,2022-12-24
6865-JZNKO,month-to-month,1530.6,55.3,30,24-48,False,Bank transfer (automatic),,,,55.3,0,2022-12-04
6467-CHFZW,month-to-month,4749.15,99.35,47,24-48,True,Electronic check,,,,99.35,0,2022-12-06
8665-UTDHZ,month-to-month,30.2,30.2,1,0-6,True,Electronic check,,,,30.2,0,2022-12-13
5248-YGIJN,two year,6369.45,90.25,72,48+,False,Credit card (automatic),,,,90.25,0,2022-12-11
8773-HHUOZ,month-to-month,1093.1,64.7,17,12-24,True,Mailed check,,,,64.7,0,2022-12-18
3841-NFECX,two year,6766.95,96.35,71,48+,False,Credit card (automatic),,,,96.35,0,2022-12-03
4929-XIHVW,month-to-month,181.65,95.5,2,0-6,False,Credit card (automatic),,,,95.5,0,2022-12-09
6827-IEAUQ,one year,1874.45,66.15,27,24-48,False,Mailed check,0.0,1.0,18.75,66.15,0,2022-12-20
7310-EGVHZ,month-to-month,20.2,20.2,1,0-6,False,Bank transfer (automatic),,,,20.2,0,2022-12-26
3413-BMNZE,month-to-month,45.25,45.25,1,0-6,False,Bank transfer (automatic),,,,45.25,0,2022-12-15
6234-RAAPL,two year,7251.7,99.9,72,48+,False,Bank transfer (automatic),,,,99.9,0,2022-12-28
6047-YHPVI,month-to-month,316.9,69.7,5,0-6,True,Electronic check,,,,69.7,0,2022-12-26
6572-ADKRS,month-to-month,3548.3,74.8,46,24-48,False,Credit card (automatic),,,,74.8,0,2022-12-06
5380-WJKOV,month-to-month,3549.25,106.35,34,24-48,True,Electronic check,0.0,2.0,44.0,106.35,0,2022-12-21
8168-UQWWF,month-to-month,1105.4,97.85,11,6-12,True,Bank transfer (automatic),,,,97.85,0,2022-12-20
8865-TNMNX,one year,475.7,49.55,10,6-12,False,Mailed check,,,,49.55,0,2022-12-25
9489-DEDVP,two year,4872.35,69.2,70,48+,False,Credit card (automatic),,,,69.2,0,2022-12-27
9867-JCZSP,one year,418.25,20.75,17,12-24,False,Mailed check,,,,20.75,0,2022-12-20
4671-VJLCL,two year,4861.45,79.85,63,48+,False,Credit card (automatic),,,,79.85,0,2022-12-06
4080-IIARD,month-to-month,981.45,76.2,13,12-24,False,Electronic check,,,,76.2,0,2022-12-01
3714-NTNFO,month-to-month,3906.7,84.5,49,48+,False,Electronic check,,,,84.5,0,2022-12-22
5948-UJZLF,month-to-month,97.0,49.25,2,0-6,False,Mailed check,,,,49.25,0,2022-12-13
7760-OYPDY,month-to-month,144.15,80.65,2,0-6,True,Electronic check,,,,80.65,0,2022-12-05
7639-LIAYI,two year,4217.8,79.75,52,48+,False,Credit card (automatic),,,,79.75,0,2022-12-06
2954-PIBKO,two year,4254.1,64.15,69,48+,False,Credit card (automatic),,,,64.15,0,2022-12-23
8012-SOUDQ,month-to-month,3838.75,90.25,43,24-48,False,Electronic check,,,,90.25,0,2022-12-23
9420-LOJKX,month-to-month,1426.4,99.1,15,12-24,True,Credit card (automatic),,,,99.1,0,2022-12-24
6575-SUVOI,month-to-month,1752.65,69.5,25,24-48,False,Credit card (automatic),,,,69.5,0,2022-12-11
7495-OOKFY,month-to-month,633.3,80.65,8,6-12,True,Credit card (automatic),,,,80.65,0,2022-12-08
4667-QONEA,one year,4456.35,74.85,60,48+,False,Credit card (automatic),,,,74.85,0,2022-12-07
1658-BYGOY,month-to-month,1752.55,95.45,18,12-24,True,Electronic check,,,,95.45,0,2022-12-26
8769-KKTPH,one year,6311.2,99.65,63,48+,False,Credit card (automatic),0.0,1.0,31.0,99.65,0,2022-12-04
5067-XJQFU,one year,7076.35,108.45,66,48+,False,Electronic check,,,,108.45,0,2022-12-24
3957-SQXML,two year,894.3,24.95,34,24-48,False,Credit card (automatic),,,,24.95,0,2022-12-24
5954-BDFSG,two year,7853.7,107.5,72,48+,False,Credit card (automatic),,,,107.5,0,2022-12-28
0434-CSFON,month-to-month,4707.1,100.5,47,24-48,False,Electronic check,,,,100.5,0,2022-12-11
1215-FIGMP,month-to-month,5450.7,89.9,60,48+,False,Bank transfer (automatic),,,,89.9,0,2022-12-01
0526-SXDJP,two year,2962.0,42.1,72,48+,False,Bank transfer (automatic),,,,42.1,0,2022-12-03
0557-ASKVU,one year,957.1,54.4,18,12-24,False,Credit card (automatic),,,,54.4,0,2022-12-23
5698-BQJOH,month-to-month,857.25,94.4,9,6-12,True,Electronic check,,,,94.4,0,2022-12-17
5122-CYFXA,month-to-month,244.1,75.3,3,0-6,False,Electronic check,,,,75.3,0,2022-12-02
8627-ZYGSZ,one year,3650.35,78.9,47,24-48,False,Electronic check,3.0,0.0,37.5,78.9,0,2022-12-20
3410-YOQBQ,two year,2497.2,79.2,31,24-48,False,Mailed check,,,,79.2,0,2022-12-07
3170-NMYVV,two year,930.9,20.15,50,48+,False,Bank transfer (automatic),,,,20.15,0,2022-12-04
7410-OIEDU,month-to-month,887.35,79.85,10,6-12,False,Mailed check,1.0,2.0,33.75,79.85,0,2022-12-04
2273-QCKXA,month-to-month,49.05,49.05,1,0-6,False,Mailed check,,,,49.05,0,2022-12-05
0731-EBJQB,one year,1090.65,20.4,52,48+,False,Electronic check,,,,20.4,0,2022-12-18
1891-QRQSA,two year,7099.0,111.6,64,48+,False,Bank transfer (automatic),,,,111.6,0,2022-12-01
8028-PNXHQ,two year,1424.6,24.25,62,48+,False,Bank transfer (automatic),,,,24.25,0,2022-12-17
5630-AHZIL,month-to-month,177.4,64.5,3,0-6,False,Bank transfer (automatic),,,,64.5,0,2022-12-05
2673-CXQEU,one year,6139.5,110.5,56,48+,False,Electronic check,,,,110.5,0,2022-12-24
6416-JNVRK,one year,2688.85,55.65,46,24-48,False,Credit card (automatic),,,,55.65,0,2022-12-20
5590-ZSKRV,month-to-month,482.25,54.65,8,6-12,False,Mailed check,,,,54.65,0,2022-12-09
0191-ZHSKZ,month-to-month,2111.3,74.75,30,24-48,False,Electronic check,,,,74.75,0,2022-12-06
3887-PBQAO,one year,1216.6,25.9,45,24-48,False,Credit card (automatic),,,,25.9,0,2022-12-17
5919-TMRGD,month-to-month,79.35,79.35,1,0-6,True,Electronic check,,,,79.35,0,2022-12-22
8108-UXRQN,month-to-month,565.35,50.55,11,6-12,False,Electronic check,,,,50.55,0,2022-12-16
9191-MYQKX,month-to-month,496.9,75.15,7,6-12,True,Bank transfer (automatic),,,,75.15,0,2022-12-18
9919-YLNNG,month-to-month,4327.5,103.8,42,24-48,False,Bank transfer (automatic),,,,103.8,0,2022-12-18
0318-ZOPWS,two year,973.35,20.15,49,48+,False,Bank transfer (automatic),,,,20.15,0,2022-12-21
4445-ZJNMU,month-to-month,918.75,99.3,9,6-12,False,Credit card (automatic),,,,99.3,0,2022-12-04
4808-YNLEU,one year,2215.45,62.15,35,24-48,False,Bank transfer (automatic),,,,62.15,0,2022-12-02
1862-QRWPE,two year,1057.0,20.65,48,48+,False,Bank transfer (automatic),,,,20.65,0,2022-12-17
2796-NNUFI,two year,927.1,19.95,46,24-48,False,Mailed check,,,,19.95,0,2022-12-02
3016-KSVCP,month-to-month,1009.25,33.75,29,24-48,False,Mailed check,,,,33.75,0,2022-12-09
4767-HZZHQ,month-to-month,2570.2,82.05,30,24-48,False,Bank transfer (automatic),,,,82.05,0,2022-12-23
2424-WVHPL,month-to-month,74.7,74.7,1,0-6,False,Electronic check,,,,74.7,0,2022-12-15
7233-PAHHL,two year,5714.25,84.0,66,48+,False,Mailed check,,,,84.0,0,2022-12-18
6067-NGCEU,month-to-month,7107.0,111.05,65,48+,False,Credit card (automatic),,,,111.05,0,2022-12-14
9848-JQJTX,two year,7459.05,100.9,72,48+,False,Bank transfer (automatic),,,,100.9,0,2022-12-20
8637-XJIVR,month-to-month,927.35,78.95,12,12-24,True,Electronic check,,,,78.95,0,2022-12-14
9803-FTJCG,one year,4748.7,66.85,71,48+,False,Credit card (automatic),,,,66.85,0,2022-12-24
0278-YXOOG,month-to-month,113.85,21.05,5,0-6,True,Mailed check,0.0,0.0,30.5,21.05,0,2022-12-09
3212-KXOCR,two year,1107.2,21.0,52,48+,False,Bank transfer (automatic),,,,21.0,0,2022-12-20
4598-XLKNJ,month-to-month,2514.5,98.5,25,24-48,True,Electronic check,,,,98.5,0,2022-12-22
6380-ARCEH,month-to-month,20.2,20.2,1,0-6,False,Mailed check,,,,20.2,0,2022-12-16
3679-XASPY,month-to-month,19.45,19.45,1,0-6,False,Electronic check,,,,19.45,0,2022-12-27
7123-WQUHX,one year,3605.6,95.0,38,24-48,False,Bank transfer (automatic),,,,95.0,0,2022-12-21
5386-THSLQ,one year,3027.25,45.55,66,48+,False,Bank transfer (automatic),,,,45.55,0,2022-12-02
3192-NQECA,two year,7611.85,110.0,68,48+,True,Bank transfer (automatic),,,,110.0,0,2022-12-13
6180-YBIQI,month-to-month,100.2,24.3,5,0-6,False,Mailed check,1.0,0.0,19.0,24.3,0,2022-12-24
6728-DKUCO,one year,7303.05,104.15,72,48+,False,Electronic check,,,,104.15,0,2022-12-28
9750-BOOHV,one year,927.65,30.15,32,24-48,False,Mailed check,,,,30.15,0,2022-12-22
8597-CWYHH,one year,3921.3,94.35,43,24-48,False,Mailed check,,,,94.35,0,2022-12-15
2848-YXSMW,two year,1363.25,19.4,72,48+,False,Credit card (automatic),,,,19.4,0,2022-12-24
0486-HECZI,month-to-month,5238.9,96.75,55,48+,True,Electronic check,2.0,1.0,41.0,96.75,0,2022-12-12
4549-ZDQYY,one year,3042.25,57.95,52,48+,False,Credit card (automatic),,,,57.95,0,2022-12-27
5712-AHQNN,month-to-month,3954.1,91.65,43,24-48,False,Electronic check,,,,91.65,0,2022-12-07
4846-WHAFZ,month-to-month,2868.15,76.5,37,24-48,True,Electronic check,0.0,1.0,15.0,76.5,0,2022-12-06
5256-SKJGO,two year,3423.5,54.6,64,48+,False,Electronic check,,,,54.6,0,2022-12-23
3071-VBYPO,month-to-month,248.4,89.85,3,0-6,False,Electronic check,,,,89.85,0,2022-12-19
9560-BBZXK,two year,1126.35,31.05,36,24-48,False,Bank transfer (automatic),,,,31.05,0,2022-12-15
5299-RULOA,month-to-month,1064.65,100.25,10,6-12,True,Electronic check,,,,100.25,0,2022-12-26
8402-OOOHJ,two year,835.15,20.65,41,24-48,False,Mailed check,,,,20.65,0,2022-12-15
9445-ZUEQE,month-to-month,2151.6,85.2,27,24-48,False,Credit card (automatic),,,,85.2,0,2022-12-26
1091-SOZGA,one year,5515.45,99.8,56,48+,False,Credit card (automatic),1.0,1.0,53.5,99.8,0,2022-12-26
2928-HLDBA,month-to-month,112.75,20.7,6,6-12,False,Mailed check,2.0,0.0,48.33,20.7,0,2022-12-18
0404-SWRVG,month-to-month,229.55,74.4,3,0-6,True,Electronic check,,,,74.4,0,2022-12-08
6497-TILVL,month-to-month,350.35,50.7,7,6-12,False,Mailed check,,,,50.7,0,2022-12-09
7219-TLZHO,month-to-month,62.9,20.85,4,0-6,False,Mailed check,0.0,0.0,50.0,20.85,0,2022-12-28
4622-YNKIJ,two year,3027.65,88.95,33,24-48,False,Electronic check,,,,88.95,0,2022-12-22
4412-YLTKF,month-to-month,2135.5,78.05,27,24-48,True,Electronic check,,,,78.05,0,2022-12-09
6734-PSBAW,two year,1723.95,23.55,72,48+,False,Bank transfer (automatic),,,,23.55,0,2022-12-10
3930-ZGWVE,month-to-month,19.75,19.75,1,0-6,False,Mailed check,,,,19.75,0,2022-12-02
2639-UGMAZ,one year,3985.35,56.45,71,48+,False,Electronic check,,,,56.45,0,2022-12-12
2876-GZYZC,month-to-month,1215.65,85.95,13,12-24,False,Electronic check,0.0,0.0,38.0,85.95,0,2022-12-03
6207-WIOLX,month-to-month,1502.65,58.6,25,24-48,True,Credit card (automatic),,,,58.6,0,2022-12-13
8587-XYZSF,two year,3260.1,50.55,67,48+,False,Bank transfer (automatic),,,,50.55,0,2022-12-11
3091-FYHKI,month-to-month,35.45,35.45,1,0-6,True,Electronic check,,,,35.45,0,2022-12-15
2372-HWUHI,month-to-month,81.25,44.35,2,0-6,True,Electronic check,,,,44.35,0,2022-12-16
7799-LGRDP,two year,1188.2,25.7,43,24-48,False,Credit card (automatic),,,,25.7,0,2022-12-16
7850-VWJUU,month-to-month,1778.5,75.0,23,12-24,False,Bank transfer (automatic),,,,75.0,0,2022-12-07
3774-VBNXY,two year,1277.75,20.2,64,48+,False,Mailed check,,,,20.2,0,2022-12-17
6217-KDYWC,two year,1170.55,19.6,57,48+,False,Mailed check,1.0,1.0,26.5,19.6,0,2022-12-11
0390-DCFDQ,month-to-month,70.45,70.45,1,0-6,True,Mailed check,,,,70.45,0,2022-12-18
3146-MSEGF,two year,6425.65,88.05,72,48+,False,Credit card (automatic),,,,88.05,0,2022-12-13
4080-OGPJL,month-to-month,563.65,71.15,8,6-12,True,Electronic check,,,,71.15,0,2022-12-17
1095-WGNGG,two year,5971.25,101.05,61,48+,False,Bank transfer (automatic),,,,101.05,0,2022-12-05
2636-SJDOU,one year,5289.05,84.3,64,48+,False,Credit card (automatic),,,,84.3,0,2022-12-22
1131-QQZEB,two year,1756.2,23.95,71,48+,False,Bank transfer (automatic),,,,23.95,0,2022-12-04
5716-EZXZN,two year,6416.7,99.05,65,48+,False,Credit card (automatic),,,,99.05,0,2022-12-14
6837-BJYDQ,one year,61.35,19.6,3,0-6,False,Mailed check,,,,19.6,0,2022-12-25
2135-RXIHG,month-to-month,45.65,45.65,1,0-6,True,Electronic check,,,,45.65,0,2022-12-17
6440-DKQGE,one year,1929.95,64.5,30,24-48,False,Credit card (automatic),,,,64.5,0,2022-12-16
3466-BYAVD,month-to-month,1071.4,69.5,15,12-24,False,Mailed check,,,,69.5,0,2022-12-03
3780-YVMFA,month-to-month,564.35,68.55,8,6-12,False,Electronic check,,,,68.55,0,2022-12-07
3874-EQOEP,month-to-month,655.5,95.0,7,6-12,True,Mailed check,,,,95.0,0,2022-12-05
1679-JRFBR,one year,7930.55,108.15,70,48+,False,Credit card (automatic),,,,108.15,0,2022-12-12
9073-ZZIAY,two year,5215.25,86.1,62,48+,False,Electronic check,0.0,2.0,25.8,86.1,0,2022-12-21
3077-RSNTJ,month-to-month,113.5,19.7,6,6-12,False,Mailed check,,,,19.7,0,2022-12-18
6551-GNYDG,month-to-month,1152.8,80.9,14,12-24,False,Bank transfer (automatic),,,,80.9,0,2022-12-25
9167-APMXZ,month-to-month,1821.95,84.15,22,12-24,False,Bank transfer (automatic),,,,84.15,0,2022-12-03
2749-CTKAJ,one year,419.9,20.15,22,12-24,False,Mailed check,,,,20.15,0,2022-12-26
6371-NZYEG,two year,1024.0,64.25,16,12-24,False,Mailed check,0.0,0.0,24.0,64.25,0,2022-12-01
7554-NEWDD,two year,251.6,25.7,10,6-12,False,Bank transfer (automatic),,,,25.7,0,2022-12-03
8992-VONJD,month-to-month,764.55,56.0,13,12-24,False,Electronic check,,,,56.0,0,2022-12-24
0867-MKZVY,month-to-month,1592.35,82.4,20,12-24,True,Electronic check,,,,82.4,0,2022-12-01
4482-EWFMI,month-to-month,135.2,69.7,2,0-6,False,Electronic check,,,,69.7,0,2022-12-24
4648-YPBTM,two year,3958.25,73.9,53,48+,False,Bank transfer (automatic),,,,73.9,0,2022-12-03
2907-ILJBN,one year,233.9,20.6,11,6-12,False,Mailed check,,,,20.6,0,2022-12-23
6345-FZOQH,two year,1363.45,19.9,69,48+,False,Mailed check,,,,19.9,0,2022-12-08
3376-BMGFE,month-to-month,273.0,70.9,4,0-6,True,Bank transfer (automatic),,,,70.9,0,2022-12-14
5997-OPVFA,two year,6254.45,89.05,72,48+,False,Bank transfer (automatic),,,,89.05,0,2022-12-02
3445-HXXGF,month-to-month,2651.2,45.3,58,48+,True,Electronic check,,,,45.3,0,2022-12-18
1159-WFSGR,month-to-month,321.4,20.4,16,12-24,False,Electronic check,0.0,1.0,53.0,20.4,0,2022-12-20
7654-YWJUF,one year,3539.25,84.25,43,24-48,False,Bank transfer (automatic),,,,84.25,0,2022-12-08
1875-QIVME,month-to-month,242.8,104.4,2,0-6,True,Electronic check,1.0,1.0,26.5,104.4,0,2022-12-19
6727-IOTLZ,two year,1181.75,81.95,14,12-24,False,Mailed check,,,,81.95,0,2022-12-28
0691-JVSYA,one year,5000.2,94.85,53,48+,True,Bank transfer (automatic),,,,94.85,0,2022-12-07
5918-VUKWP,one year,654.55,20.55,32,24-48,False,Bank transfer (automatic),,,,20.55,0,2022-12-12
1744-JHKYS,month-to-month,780.2,24.7,34,24-48,False,Electronic check,,,,24.7,0,2022-12-12
2656-FMOKZ,month-to-month,1145.7,74.45,15,12-24,True,Mailed check,,,,74.45,0,2022-12-22
2070-FNEXE,month-to-month,503.6,76.45,7,6-12,True,Bank transfer (automatic),,,,76.45,0,2022-12-28
5947-SGKCL,month-to-month,1559.25,105.35,15,12-24,False,Bank transfer (automatic),,,,105.35,0,2022-12-21
3712-PKXZA,one year,1252.0,20.55,61,48+,False,Credit card (automatic),1.0,1.0,38.0,20.55,0,2022-12-23
6317-YPKDH,month-to-month,29.95,29.95,1,0-6,True,Bank transfer (automatic),,,,29.95,0,2022-12-13
6582-OIVSP,month-to-month,45.3,45.3,1,0-6,False,Mailed check,,,,45.3,0,2022-12-19
9367-WXLCH,month-to-month,662.65,84.5,8,6-12,True,Bank transfer (automatic),1.0,0.0,23.0,84.5,0,2022-12-21
5524-KHNJP,one year,2453.3,74.75,33,24-48,False,Credit card (automatic),,,,74.75,0,2022-12-16
1918-ZBFQJ,month-to-month,1111.65,79.25,13,12-24,True,Electronic check,,,,79.25,0,2022-12-07
1024-GUALD,month-to-month,24.8,24.8,1,0-6,True,Electronic check,,,,24.8,0,2022-12-12
4827-USJHP,month-to-month,1023.85,51.8,20,12-24,False,Mailed check,0.0,1.0,33.8,51.8,0,2022-12-04
8167-GJLRN,month-to-month,82.15,30.4,3,0-6,False,Electronic check,,,,30.4,0,2022-12-06
0956-SYCWG,one year,244.8,19.65,13,12-24,False,Electronic check,,,,19.65,0,2022-12-09
8017-UVSZU,month-to-month,2379.1,56.6,40,24-48,False,Credit card (automatic),,,,56.6,0,2022-12-23
7100-FQPRV,one year,3173.35,71.9,43,24-48,False,Credit card (automatic),,,,71.9,0,2022-12-04
2472-OVKUP,month-to-month,531.0,91.0,6,6-12,True,Electronic check,,,,91.0,0,2022-12-13
2984-RGEYA,two year,1375.4,19.75,69,48+,False,Bank transfer (automatic),0.0,1.0,19.5,19.75,0,2022-12-19
9680-NIAUV,two year,8129.3,109.7,72,48+,False,Credit card (automatic),,,,109.7,0,2022-12-04
2146-EGVDT,two year,1192.7,19.3,59,48+,False,Credit card (automatic),,,,19.3,0,2022-12-22
2604-IJPDU,month-to-month,1901.65,96.55,20,12-24,False,Electronic check,,,,96.55,0,2022-12-18
9178-JHUVJ,two year,587.4,24.1,24,24-48,False,Bank transfer (automatic),0.0,2.0,25.5,24.1,0,2022-12-16
6168-YBYNP,month-to-month,6519.75,111.35,59,48+,False,Electronic check,,,,111.35,0,2022-12-13
7255-SSFBC,two year,8041.65,112.25,72,48+,False,Bank transfer (automatic),,,,112.25,0,2022-12-14
3645-DEYGF,month-to-month,20.75,20.75,1,0-6,False,Mailed check,,,,20.75,0,2022-12-15
9323-HGFWY,one year,2681.15,101.9,27,24-48,False,Credit card (automatic),,,,101.9,0,2022-12-25
8544-GOQSH,month-to-month,1112.3,80.05,14,12-24,False,Credit card (automatic),,,,80.05,0,2022-12-03
3363-DTIVD,two year,7405.5,105.55,71,48+,False,Electronic check,,,,105.55,0,2022-12-15
7018-WBJNK,month-to-month,1033.95,78.3,13,12-24,False,Credit card (automatic),,,,78.3,0,2022-12-12
9142-KZXOP,month-to-month,2958.95,68.85,44,24-48,False,Credit card (automatic),1.0,0.0,49.0,68.85,0,2022-12-24
7674-YTAFD,one year,2684.85,79.95,33,24-48,False,Bank transfer (automatic),1.0,3.0,46.2,79.95,0,2022-12-04
6348-SNFUS,two year,4179.2,55.45,72,48+,False,Credit card (automatic),,,,55.45,0,2022-12-01
1285-OKIPP,month-to-month,79.9,79.9,1,0-6,True,Electronic check,,,,79.9,0,2022-12-17
7825-ECJRF,month-to-month,1934.45,106.6,19,12-24,True,Electronic check,,,,106.6,0,2022-12-08
1347-KTTTA,one year,6654.1,102.45,64,48+,False,Credit card (automatic),,,,102.45,0,2022-12-25
7841-TZDMQ,month-to-month,84.5,46.0,2,0-6,True,Credit card (automatic),1.0,0.0,50.0,46.0,0,2022-12-25
4195-NZGTA,month-to-month,25.25,25.25,1,0-6,False,Electronic check,,,,25.25,0,2022-12-10
7157-SMCFK,two year,1124.2,19.75,61,48+,False,Mailed check,,,,19.75,0,2022-12-22
4709-LKHYG,one year,540.05,20.0,29,24-48,False,Electronic check,,,,20.0,0,2022-12-09
2504-DSHIH,month-to-month,1975.85,86.8,23,12-24,False,Electronic check,,,,86.8,0,2022-12-13
0699-NDKJM,month-to-month,3437.45,58.75,57,48+,False,Bank transfer (automatic),0.0,1.0,15.0,58.75,0,2022-12-16
9286-BHDQG,two year,3139.8,45.25,72,48+,False,Credit card (automatic),2.0,0.0,37.33,45.25,0,2022-12-26
0230-WEQUW,two year,3789.2,56.6,66,48+,False,Bank transfer (automatic),,,,56.6,0,2022-12-21
2040-LDIWQ,two year,5324.5,84.2,65,48+,False,Bank transfer (automatic),,,,84.2,0,2022-12-01
6496-JDSSB,month-to-month,624.6,80.0,8,6-12,False,Bank transfer (automatic),1.0,1.0,24.6,80.0,0,2022-12-03
9408-SSNVZ,month-to-month,268.35,70.15,4,0-6,True,Electronic check,,,,70.15,0,2022-12-15
4443-EMBNA,two year,1836.9,24.75,71,48+,False,Bank transfer (automatic),,,,24.75,0,2022-12-28
6469-MRVET,one year,20.2,20.2,1,0-6,False,Electronic check,,,,20.2,0,2022-12-18
0742-MOABM,month-to-month,179.35,50.05,4,0-6,True,Mailed check,,,,50.05,0,2022-12-10
5961-VUSRV,one year,219.35,19.35,12,12-24,False,Bank transfer (automatic),0.0,1.0,37.8,19.35,0,2022-12-14
6778-JFCMK,one year,1288.75,50.6,24,24-48,False,Mailed check,,,,50.6,0,2022-12-19
6341-JVQGF,one year,2545.75,81.15,31,24-48,False,Mailed check,,,,81.15,0,2022-12-01
2232-DMLXU,month-to-month,55.2,55.2,1,0-6,True,Mailed check,,,,55.2,0,2022-12-16
4811-JBUVU,month-to-month,2723.15,89.9,30,24-48,False,Credit card (automatic),,,,89.9,0,2022-12-04
0945-TSONX,two year,4107.25,85.3,47,24-48,False,Credit card (automatic),,,,85.3,0,2022-12-03
2651-ZCBXV,two year,5760.65,108.0,54,48+,False,Credit card (automatic),,,,108.0,0,2022-12-19
3316-UWXUY,month-to-month,4747.5,93.5,50,48+,False,Credit card (automatic),,,,93.5,0,2022-12-19
8937-RDTHP,month-to-month,84.6,84.6,1,0-6,True,Mailed check,,,,84.6,0,2022-12-01
7083-MIOPC,two year,1566.9,20.25,72,48+,False,Credit card (automatic),,,,20.25,0,2022-12-18
1984-GPTEH,month-to-month,702.0,25.15,29,24-48,False,Electronic check,,,,25.15,0,2022-12-01
1251-KRREG,month-to-month,114.1,54.4,2,0-6,True,Mailed check,,,,54.4,0,2022-12-20
0621-JFHOL,two year,299.05,29.6,10,6-12,False,Mailed check,,,,29.6,0,2022-12-28
9903-LYSAB,month-to-month,1305.95,73.15,18,12-24,False,Electronic check,,,,73.15,0,2022-12-07
0094-OIFMO,month-to-month,1120.3,95.0,11,6-12,True,Electronic check,,,,95.0,0,2022-12-04
9227-UAQFT,two year,284.35,19.75,16,12-24,False,Mailed check,,,,19.75,0,2022-12-24
7301-ABVAD,two year,6350.5,86.6,72,48+,False,Bank transfer (automatic),,,,86.6,0,2022-12-04
6614-FHDBO,two year,7878.3,109.2,72,48+,False,Bank transfer (automatic),,,,109.2,0,2022-12-08
7576-ASEJU,one year,3187.65,74.7,41,24-48,False,Credit card (automatic),,,,74.7,0,2022-12-08
9058-HRZSV,month-to-month,6126.15,94.4,65,48+,False,Electronic check,1.0,3.0,39.2,94.4,0,2022-12-11
4522-AKYLR,month-to-month,731.3,54.8,13,12-24,False,Electronic check,,,,54.8,0,2022-12-24
0221-WMXNQ,month-to-month,273.4,75.35,4,0-6,False,Electronic check,,,,75.35,0,2022-12-11
0303-UNCIP,one year,2531.8,65.0,41,24-48,False,Mailed check,,,,65.0,0,2022-12-02
9947-OTFQU,month-to-month,1074.3,74.4,15,12-24,True,Electronic check,,,,74.4,0,2022-12-20
0322-YINQP,month-to-month,48.55,48.55,1,0-6,True,Mailed check,0.0,1.0,41.0,48.55,0,2022-12-04
0959-WHOKV,one year,4298.45,99.0,42,24-48,False,Electronic check,0.0,0.0,19.0,99.0,0,2022-12-22
